id,idx
1,0
2,1
3,2
4,3
5,4
6,5
7,6
8,7
9,8
10,9
11,10
12,11
13,12
14,13
16,14
17,15
18,16
19,17
22,18
23,19
24,20
26,21
29,22
30,23
34,24
35,25
36,26
37,27
38,28
40,29
41,30
42,31
43,32
44,33
45,34
46,35
47,36
48,37
50,38
51,39
52,40
53,41
54,42
55,43
56,44
57,45
58,46
59,47
60,48
61,49
62,50
63,51
64,52
65,53
66,54
67,55
68,56
69,57
70,58
72,59
73,60
76,61
77,62
78,63
79,64
81,65
82,66
83,67
85,68
86,69
87,70
88,71
89,72
90,73
91,74
92,75
93,76
94,77
95,78
96,79
97,80
98,81
99,82
101,83
102,84
103,85
104,86
105,87
106,88
107,89
108,90
110,91
111,92
112,93
113,94
114,95
115,96
116,97
117,98
118,99
120,100
121,101
122,102
123,103
124,104
125,105
126,106
128,107
129,108
130,109
131,110
134,111
135,112
136,113
137,114
138,115
139,116
140,117
141,118
143,119
144,120
145,121
148,122
149,123
150,124
151,125
152,126
153,127
154,128
155,129
156,130
157,131
158,132
159,133
160,134
161,135
162,136
163,137
164,138
166,139
167,140
168,141
169,142
170,143
171,144
173,145
174,146
175,147
177,148
178,149
179,150
180,151
182,152
183,153
184,154
185,155
186,156
188,157
189,158
190,159
192,160
193,161
194,162
195,163
196,164
197,165
198,166
199,167
200,168
201,169
202,170
203,171
204,172
205,173
206,174
207,175
208,176
209,177
210,178
211,179
212,180
213,181
214,182
215,183
216,184
218,185
219,186
220,187
221,188
223,189
224,190
225,191
226,192
227,193
228,194
229,195
230,196
231,197
232,198
235,199
236,200
237,201
238,202
239,203
241,204
242,205
243,206
244,207
245,208
247,209
248,210
249,211
250,212
251,213
252,214
253,215
254,216
255,217
256,218
257,219
258,220
259,221
261,222
262,223
263,224
264,225
265,226
266,227
268,228
269,229
271,230
272,231
273,232
274,233
275,234
276,235
277,236
278,237
279,238
280,239
281,240
282,241
285,242
286,243
288,244
289,245
290,246
291,247
292,248
293,249
294,250
295,251
297,252
298,253
300,254
301,255
302,256
303,257
305,258
307,259
308,260
310,261
312,262
313,263
314,264
315,265
316,266
317,267
318,268
319,269
320,270
321,271
322,272
323,273
324,274
325,275
326,276
327,277
328,278
329,279
330,280
332,281
333,282
334,283
335,284
336,285
337,286
340,287
341,288
342,289
344,290
345,291
346,292
347,293
348,294
349,295
350,296
351,297
352,298
353,299
354,300
355,301
357,302
358,303
360,304
361,305
362,306
363,307
364,308
365,309
366,310
367,311
368,312
370,313
371,314
372,315
375,316
376,317
377,318
378,319
379,320
380,321
381,322
382,323
383,324
384,325
385,326
386,327
388,328
389,329
390,330
391,331
392,332
394,333
395,334
396,335
397,336
398,337
399,338
400,339
401,340
402,341
403,342
405,343
407,344
408,345
409,346
410,347
411,348
412,349
413,350
414,351
415,352
416,353
418,354
419,355
420,356
421,357
422,358
424,359
425,360
426,361
428,362
429,363
431,364
432,365
433,366
434,367
435,368
436,369
437,370
438,371
439,372
440,373
443,374
444,375
446,376
447,377
448,378
449,379
450,380
451,381
452,382
453,383
454,384
455,385
456,386
458,387
459,388
460,389
462,390
463,391
464,392
465,393
467,394
469,395
470,396
471,397
472,398
473,399
474,400
475,401
476,402
477,403
479,404
480,405
481,406
482,407
483,408
484,409
485,410
487,411
489,412
490,413
491,414
492,415
493,416
494,417
495,418
