id,idx
17169,0
14459,1
5732,2
12084,3
94,4
14042,5
8327,6
2743,7
7624,8
3427,9
15124,10
14367,11
2095,12
5317,13
6931,14
16075,15
1509,16
16707,17
5169,18
11875,19
16698,20
9960,21
788,22
12818,23
9592,24
9593,25
5430,26
13534,27
11323,28
11337,29
15151,30
1642,31
7233,32
5154,33
13865,34
7145,35
12945,36
3684,37
10820,38
1905,39
16262,40
14313,41
10607,42
9426,43
13318,44
15769,45
4670,46
5778,47
5787,48
5793,49
4089,50
11490,51
7230,52
985,53
14066,54
11283,55
17157,56
3650,57
1709,58
16265,59
12003,60
1255,61
13651,62
14670,63
6274,64
9741,65
1123,66
10748,67
12605,68
10947,69
4932,70
13081,71
7779,72
7745,73
15209,74
4847,75
11279,76
406,77
17152,78
11521,79
6908,80
14667,81
11938,82
3290,83
15627,84
3938,85
8851,86
2372,87
11859,88
10212,89
14712,90
14869,91
607,92
6510,93
175,94
2992,95
5582,96
10170,97
7356,98
11209,99
8764,100
6205,101
16016,102
16994,103
11745,104
16604,105
12476,106
12338,107
10739,108
4956,109
6833,110
12675,111
7046,112
16605,113
16765,114
3624,115
14358,116
10664,117
12918,118
5727,119
15246,120
16954,121
1810,122
4996,123
11182,124
14978,125
58,126
851,127
4389,128
5054,129
13636,130
14165,131
10471,132
13391,133
4831,134
5939,135
2139,136
8428,137
16825,138
5327,139
12317,140
8429,141
11781,142
9131,143
14410,144
329,145
6994,146
11998,147
17494,148
11152,149
705,150
1625,151
7240,152
4761,153
3972,154
1803,155
5318,156
7057,157
13195,158
1220,159
658,160
17330,161
5293,162
9442,163
14407,164
1744,165
457,166
494,167
4341,168
16792,169
5922,170
6350,171
2452,172
10042,173
15853,174
17088,175
15107,176
5472,177
7701,178
8585,179
12293,180
13614,181
14621,182
4432,183
6972,184
13402,185
16552,186
468,187
483,188
6227,189
9882,190
14192,191
15887,192
6193,193
6352,194
7879,195
15919,196
6971,197
15702,198
8743,199
15712,200
15048,201
13439,202
1798,203
8596,204
7706,205
